Sample,Project,SampleName,PMID,Genotype,Ecotype,Tissue_raw,TotalReads,UniqueMappedRate,ReleaseDate,Count,Tissue,VegetativeRepro,AboveBelow
GSM2397364,PRJNA354407,UBQ:TCP14-3_rep4,28132837,UBQ10,Col-0,seedlings,19508311,0.92,1/12/2017,,other,other,other
GSM2397366,PRJNA354407,coi1-16_rep2,28132837,coi1-16,Col-0,seedlings,7947910,0.86,1/12/2017,,other,other,other
GSM2397367,PRJNA354407,UBQ:TCP14-4_rep1,28132837,UBQ10,Col-0,seedlings,9626428,0.89,1/12/2017,,other,other,other
GSM2399911,PRJNA354600,RNA-Seq Control,28336770,wild type,Col-0,shoot-cotyledon,12613394,0.97,4/3/2017,2,Cotyledon,Vegetative,Above
GSM2399912,PRJNA354600,RNA-Seq wn1,28336770,whitening mutant wn1,Col-0,shoot-cotyledon,15394008,0.96,4/3/2017,2,Cotyledon,Vegetative,Above
GSM2425602,PRJNA357201,D18-1_Col,29735710,Wild type,Col-0,leaves,17764608,0.91,4/30/2018,3633,Leaf,Vegetative,Above
GSM2425603,PRJNA357201,D18-2_Col,29735710,Wild type,Col-0,leaves,16116439,0.95,4/30/2018,3633,Leaf,Vegetative,Above
GSM2425604,PRJNA357201,D18-3_Col,29735710,Wild type,Col-0,leaves,19571483,0.93,4/30/2018,3633,Leaf,Vegetative,Above
GSM2425605,PRJNA357201,D18-1_017,29735710,anac017 mutant,Col-0,leaves,18670745,0.91,4/30/2018,3633,Leaf,Vegetative,Above
GSM2425606,PRJNA357201,D18-2_017,29735710,anac017 mutant,Col-0,leaves,20220578,0.88,4/30/2018,3633,Leaf,Vegetative,Above
GSM2425607,PRJNA357201,D18-3_017,29735710,anac017 mutant,Col-0,leaves,13186926,0.89,4/30/2018,3633,Leaf,Vegetative,Above
GSM2425608,PRJNA357201,D18-1_082,29735710,anac082 mutant,Col-0,leaves,15465462,0.9,4/30/2018,3633,Leaf,Vegetative,Above
GSM2425609,PRJNA357201,D18-2_082,29735710,anac082 mutant,Col-0,leaves,18043291,0.91,4/30/2018,3633,Leaf,Vegetative,Above
GSM2425610,PRJNA357201,D18-3_082,29735710,anac082 mutant,Col-0,leaves,19413203,0.86,4/30/2018,3633,Leaf,Vegetative,Above
GSM2425611,PRJNA357201,D18-1_090,29735710,anac090 mutant,Col-0,leaves,20868569,0.89,4/30/2018,3633,Leaf,Vegetative,Above
GSM2425613,PRJNA357201,D18-3_090,29735710,anac090 mutant,Col-0,leaves,13878807,0.85,4/30/2018,3633,Leaf,Vegetative,Above
GSM2429539,PRJNA357502,Wild type Arabidopsis NT,28106309,wild type,Col-0,seedlings,58893476,0.85,1/23/2017,,other,other,other
GSM2429540,PRJNA357502,Wild type Arabidopsis under ABA treatment,28106309,wild type,Col-0,seedlings,65410928,0.94,1/23/2017,,other,other,other
GSM2429541,PRJNA357502,lincRNA11195 mutant Arabidopsis,28106309,lincRNA11195 mutant,Col-0,seedlings,59046727,0.93,1/23/2017,,other,other,other
GSM2429542,PRJNA357502,lincRNA11195 mutant Arabidopsis under ABA treatment,28106309,lincRNA11195 mutant,Col-0,seedlings,57304024,0.93,1/23/2017,,other,other,other
GSM2429863,PRJNA357598,WT-mRNA-Rep-1,28202597,wild type,Col-0,leaves,13268526,0.78,6/16/2017,3633,Leaf,Vegetative,Above
GSM2429864,PRJNA357598,WT-mRNA-Rep-2,28202597,wild type,Col-0,leaves,13936195,0.89,6/16/2017,3633,Leaf,Vegetative,Above
GSM2429865,PRJNA357598,K36M-mRNA-Rep-1,28202597,K36M,Col-0,leaves,12654326,0.89,6/16/2017,3633,Leaf,Vegetative,Above
GSM2429866,PRJNA357598,K36M-mRNA-Rep-2,28202597,K36M,Col-0,leaves,9258418,0.85,6/16/2017,3633,Leaf,Vegetative,Above
GSM2432384,PRJNA358059,F2 Sample 3,28464948,/,Algutsrum X TDr-9,aerial shoots,4780886,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432385,PRJNA358059,F2 Sample 4,28464948,/,Algutsrum X TDr-9,aerial shoots,6734978,0.81,3/15/2017,203,Shoot,Vegetative,Above
GSM2432387,PRJNA358059,F2 Sample 6 (Technical Replicate 1),28464948,/,Algutsrum X TDr-9,aerial shoots,3539285,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432388,PRJNA358059,F2 Sample 7,28464948,/,Algutsrum X TDr-9,aerial shoots,4834617,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432389,PRJNA358059,F2 Sample 8,28464948,/,Algutsrum X TDr-9,aerial shoots,11507235,0.8,3/15/2017,203,Shoot,Vegetative,Above
GSM2432390,PRJNA358059,F2 Sample 9,28464948,/,Algutsrum X TDr-9,aerial shoots,4323821,0.78,3/15/2017,203,Shoot,Vegetative,Above
GSM2432392,PRJNA358059,F2 Sample 11,28464948,/,Algutsrum X TDr-9,aerial shoots,7451852,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432393,PRJNA358059,F2 Sample 12,28464948,/,Algutsrum X TDr-9,aerial shoots,21748526,0.85,3/15/2017,203,Shoot,Vegetative,Above
GSM2432394,PRJNA358059,F2 Sample 13 (Technical Replicate 1),28464948,/,Algutsrum X TDr-9,aerial shoots,3177068,0.81,3/15/2017,203,Shoot,Vegetative,Above
GSM2432395,PRJNA358059,F2 Sample 14,28464948,/,Algutsrum X TDr-9,aerial shoots,6886883,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432396,PRJNA358059,F2 Sample 15,28464948,/,Algutsrum X TDr-9,aerial shoots,4032445,0.78,3/15/2017,203,Shoot,Vegetative,Above
GSM2432397,PRJNA358059,F2 Sample 16,28464948,/,Algutsrum X TDr-9,aerial shoots,4950788,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432398,PRJNA358059,F2 Sample 17,28464948,/,Algutsrum X TDr-9,aerial shoots,4903122,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432399,PRJNA358059,F2 Sample 18,28464948,/,Algutsrum X TDr-9,aerial shoots,7139504,0.77,3/15/2017,203,Shoot,Vegetative,Above
GSM2432400,PRJNA358059,F2 Sample 19,28464948,/,Algutsrum X TDr-9,aerial shoots,7709617,0.79,3/15/2017,203,Shoot,Vegetative,Above
GSM2432401,PRJNA358059,F2 Sample 20,28464948,/,Algutsrum X TDr-9,aerial shoots,5566493,0.77,3/15/2017,203,Shoot,Vegetative,Above
GSM2432403,PRJNA358059,F2 Sample 22,28464948,/,Algutsrum X TDr-9,aerial shoots,10285585,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432406,PRJNA358059,F2 Sample 25,28464948,/,Algutsrum X TDr-9,aerial shoots,5776943,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432408,PRJNA358059,F2 Sample 27,28464948,/,Algutsrum X TDr-9,aerial shoots,7727170,0.77,3/15/2017,203,Shoot,Vegetative,Above
GSM2432409,PRJNA358059,F2 Sample 28,28464948,/,Algutsrum X TDr-9,aerial shoots,5089301,0.81,3/15/2017,203,Shoot,Vegetative,Above
GSM2432410,PRJNA358059,F2 Sample 29 (Technical Replicate 1),28464948,/,Algutsrum X TDr-9,aerial shoots,3839299,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432411,PRJNA358059,F2 Sample 30,28464948,/,Algutsrum X TDr-9,aerial shoots,5465566,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432412,PRJNA358059,F2 Sample 31,28464948,/,Algutsrum X TDr-9,aerial shoots,7271170,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432413,PRJNA358059,F2 Sample 32,28464948,/,Algutsrum X TDr-9,aerial shoots,8240246,0.79,3/15/2017,203,Shoot,Vegetative,Above
GSM2432414,PRJNA358059,F2 Sample 33,28464948,/,Algutsrum X TDr-9,aerial shoots,8308004,0.81,3/15/2017,203,Shoot,Vegetative,Above
GSM2432415,PRJNA358059,F2 Sample 34,28464948,/,Algutsrum X TDr-9,aerial shoots,6609514,0.81,3/15/2017,203,Shoot,Vegetative,Above
GSM2432416,PRJNA358059,F2 Sample 35,28464948,/,Algutsrum X TDr-9,aerial shoots,6169879,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432417,PRJNA358059,F2 Sample 36,28464948,/,Algutsrum X TDr-9,aerial shoots,13395560,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432418,PRJNA358059,F2 Sample 37,28464948,/,Algutsrum X TDr-9,aerial shoots,4127975,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432419,PRJNA358059,F2 Sample 38,28464948,/,Algutsrum X TDr-9,aerial shoots,5341722,0.82,3/15/2017,203,Shoot,Vegetative,Above
GSM2432420,PRJNA358059,F2 Sample 39,28464948,/,Algutsrum X TDr-9,aerial shoots,5303236,0.86,3/15/2017,203,Shoot,Vegetative,Above
GSM2432421,PRJNA358059,F2 Sample 40,28464948,/,Algutsrum X TDr-9,aerial shoots,4121996,0.82,3/15/2017,203,Shoot,Vegetative,Above
GSM2432422,PRJNA358059,F2 Sample 41,28464948,/,Algutsrum X TDr-9,aerial shoots,5467032,0.78,3/15/2017,203,Shoot,Vegetative,Above
GSM2432423,PRJNA358059,F2 Sample 42,28464948,/,Algutsrum X TDr-9,aerial shoots,5327120,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432424,PRJNA358059,F2 Sample 43,28464948,/,Algutsrum X TDr-9,aerial shoots,7044137,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432425,PRJNA358059,F2 Sample 44,28464948,/,Algutsrum X TDr-9,aerial shoots,10791100,0.78,3/15/2017,203,Shoot,Vegetative,Above
GSM2432426,PRJNA358059,F2 Sample 45,28464948,/,Algutsrum X TDr-9,aerial shoots,6158737,0.85,3/15/2017,203,Shoot,Vegetative,Above
GSM2432427,PRJNA358059,F2 Sample 46,28464948,/,Algutsrum X TDr-9,aerial shoots,4950424,0.81,3/15/2017,203,Shoot,Vegetative,Above
GSM2432428,PRJNA358059,F2 Sample 47,28464948,/,Algutsrum X TDr-9,aerial shoots,7551231,0.82,3/15/2017,203,Shoot,Vegetative,Above
GSM2432429,PRJNA358059,F2 Sample 48,28464948,/,Algutsrum X TDr-9,aerial shoots,4882574,0.81,3/15/2017,203,Shoot,Vegetative,Above
GSM2432430,PRJNA358059,F2 Sample 49,28464948,/,Algutsrum X TDr-9,aerial shoots,4530470,0.86,3/15/2017,203,Shoot,Vegetative,Above
GSM2432432,PRJNA358059,F2 Sample 51,28464948,/,Algutsrum X TDr-9,aerial shoots,5042609,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432433,PRJNA358059,F2 Sample 52,28464948,/,Algutsrum X TDr-9,aerial shoots,7592279,0.79,3/15/2017,203,Shoot,Vegetative,Above
GSM2432434,PRJNA358059,F2 Sample 53,28464948,/,Algutsrum X TDr-9,aerial shoots,6341488,0.78,3/15/2017,203,Shoot,Vegetative,Above
GSM2432436,PRJNA358059,F2 Sample 55,28464948,/,Algutsrum X TDr-9,aerial shoots,6192395,0.85,3/15/2017,203,Shoot,Vegetative,Above
GSM2432437,PRJNA358059,F2 Sample 56,28464948,/,Algutsrum X TDr-9,aerial shoots,6097784,0.86,3/15/2017,203,Shoot,Vegetative,Above
GSM2432438,PRJNA358059,F2 Sample 57,28464948,/,Algutsrum X TDr-9,aerial shoots,11180476,0.82,3/15/2017,203,Shoot,Vegetative,Above
GSM2432439,PRJNA358059,F2 Sample 58,28464948,/,Algutsrum X TDr-9,aerial shoots,9022220,0.86,3/15/2017,203,Shoot,Vegetative,Above
GSM2432441,PRJNA358059,F2 Sample 60,28464948,/,Algutsrum X TDr-9,aerial shoots,3713088,0.85,3/15/2017,203,Shoot,Vegetative,Above
GSM2432442,PRJNA358059,F2 Sample 61,28464948,/,Algutsrum X TDr-9,aerial shoots,3905651,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432443,PRJNA358059,F2 Sample 62,28464948,/,Algutsrum X TDr-9,aerial shoots,3679159,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432444,PRJNA358059,F2 Sample 63,28464948,/,Algutsrum X TDr-9,aerial shoots,4963873,0.86,3/15/2017,203,Shoot,Vegetative,Above
GSM2432445,PRJNA358059,F2 Sample 64,28464948,/,Algutsrum X TDr-9,aerial shoots,4796505,0.85,3/15/2017,203,Shoot,Vegetative,Above
GSM2432446,PRJNA358059,F2 Sample 65,28464948,/,Algutsrum X TDr-9,aerial shoots,5051969,0.81,3/15/2017,203,Shoot,Vegetative,Above
GSM2432449,PRJNA358059,F2 Sample 68,28464948,/,Algutsrum X TDr-9,aerial shoots,6486820,0.79,3/15/2017,203,Shoot,Vegetative,Above
GSM2432452,PRJNA358059,F2 Sample 71,28464948,/,Algutsrum X TDr-9,aerial shoots,5772884,0.85,3/15/2017,203,Shoot,Vegetative,Above
GSM2432457,PRJNA358059,F2 Sample 76,28464948,/,Algutsrum X TDr-9,aerial shoots,7858441,0.79,3/15/2017,203,Shoot,Vegetative,Above
GSM2432458,PRJNA358059,F2 Sample 77,28464948,/,Algutsrum X TDr-9,aerial shoots,3783504,0.82,3/15/2017,203,Shoot,Vegetative,Above
GSM2432465,PRJNA358059,F2 Sample 84,28464948,/,Algutsrum X TDr-9,aerial shoots,4423475,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432469,PRJNA358059,F2 Sample 88,28464948,/,Algutsrum X TDr-9,aerial shoots,6098920,0.8,3/15/2017,203,Shoot,Vegetative,Above
GSM2432470,PRJNA358059,F2 Sample 89,28464948,/,Algutsrum X TDr-9,aerial shoots,5218828,0.85,3/15/2017,203,Shoot,Vegetative,Above
GSM2432472,PRJNA358059,F2 Sample 91,28464948,/,Algutsrum X TDr-9,aerial shoots,7978663,0.8,3/15/2017,203,Shoot,Vegetative,Above
GSM2432475,PRJNA358059,F2 Sample 94,28464948,/,Algutsrum X TDr-9,aerial shoots,11457683,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432476,PRJNA358059,F2 Sample 95,28464948,/,Algutsrum X TDr-9,aerial shoots,10995065,0.79,3/15/2017,203,Shoot,Vegetative,Above
GSM2432478,PRJNA358059,F2 Sample 97,28464948,/,Algutsrum X TDr-9,aerial shoots,10870489,0.78,3/15/2017,203,Shoot,Vegetative,Above
GSM2432483,PRJNA358059,F2 Sample 102 (Technical Replicate 1),28464948,/,Algutsrum X TDr-9,aerial shoots,3356724,0.86,3/15/2017,203,Shoot,Vegetative,Above
GSM2432501,PRJNA358059,F2 Sample 120,28464948,/,Algutsrum X TDr-9,aerial shoots,6051072,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432502,PRJNA358059,F2 Sample 121,28464948,/,Algutsrum X TDr-9,aerial shoots,4572886,0.79,3/15/2017,203,Shoot,Vegetative,Above
GSM2432503,PRJNA358059,F2 Sample 122,28464948,/,Algutsrum X TDr-9,aerial shoots,4710780,0.78,3/15/2017,203,Shoot,Vegetative,Above
GSM2432504,PRJNA358059,F2 Sample 123,28464948,/,Algutsrum X TDr-9,aerial shoots,9649477,0.76,3/15/2017,203,Shoot,Vegetative,Above
GSM2432506,PRJNA358059,F2 Sample 125,28464948,/,Algutsrum X TDr-9,aerial shoots,5873467,0.79,3/15/2017,203,Shoot,Vegetative,Above
GSM2432507,PRJNA358059,F2 Sample 126,28464948,/,Algutsrum X TDr-9,aerial shoots,5883975,0.79,3/15/2017,203,Shoot,Vegetative,Above
GSM2432508,PRJNA358059,F2 Sample 127,28464948,/,Algutsrum X TDr-9,aerial shoots,7898038,0.85,3/15/2017,203,Shoot,Vegetative,Above
GSM2432509,PRJNA358059,F2 Sample 128,28464948,/,Algutsrum X TDr-9,aerial shoots,6723388,0.85,3/15/2017,203,Shoot,Vegetative,Above
GSM2432512,PRJNA358059,F2 Sample 131,28464948,/,Algutsrum X TDr-9,aerial shoots,6292556,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432514,PRJNA358059,F2 Sample 133,28464948,/,Algutsrum X TDr-9,aerial shoots,8458411,0.8,3/15/2017,203,Shoot,Vegetative,Above
GSM2432515,PRJNA358059,F2 Sample 134,28464948,/,Algutsrum X TDr-9,aerial shoots,8623539,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432516,PRJNA358059,F2 Sample 135,28464948,/,Algutsrum X TDr-9,aerial shoots,7931069,0.85,3/15/2017,203,Shoot,Vegetative,Above
GSM2432519,PRJNA358059,F2 Sample 138,28464948,/,Algutsrum X TDr-9,aerial shoots,5811375,0.81,3/15/2017,203,Shoot,Vegetative,Above
GSM2432521,PRJNA358059,F2 Sample 140,28464948,/,Algutsrum X TDr-9,aerial shoots,8474479,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432523,PRJNA358059,F2 Sample 142,28464948,/,Algutsrum X TDr-9,aerial shoots,7148642,0.75,3/15/2017,203,Shoot,Vegetative,Above
GSM2432524,PRJNA358059,F2 Sample 143,28464948,/,Algutsrum X TDr-9,aerial shoots,6619835,0.86,3/15/2017,203,Shoot,Vegetative,Above
GSM2432528,PRJNA358059,F2 Sample 147,28464948,/,Algutsrum X TDr-9,aerial shoots,5833352,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432529,PRJNA358059,F2 Sample 148,28464948,/,Algutsrum X TDr-9,aerial shoots,7561541,0.75,3/15/2017,203,Shoot,Vegetative,Above
GSM2432530,PRJNA358059,F2 Sample 149,28464948,/,Algutsrum X TDr-9,aerial shoots,3863018,0.77,3/15/2017,203,Shoot,Vegetative,Above
GSM2432532,PRJNA358059,F2 Sample 151,28464948,/,Algutsrum X TDr-9,aerial shoots,7151413,0.76,3/15/2017,203,Shoot,Vegetative,Above
GSM2432533,PRJNA358059,F2 Sample 152,28464948,/,Algutsrum X TDr-9,aerial shoots,2621734,0.75,3/15/2017,203,Shoot,Vegetative,Above
GSM2432534,PRJNA358059,F2 Sample 153,28464948,/,Algutsrum X TDr-9,aerial shoots,6368866,0.77,3/15/2017,203,Shoot,Vegetative,Above
GSM2432536,PRJNA358059,F2 Sample 155,28464948,/,Algutsrum X TDr-9,aerial shoots,6911417,0.87,3/15/2017,203,Shoot,Vegetative,Above
GSM2432537,PRJNA358059,F2 Sample 156,28464948,/,Algutsrum X TDr-9,aerial shoots,7002916,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432541,PRJNA358059,F2 Sample 160,28464948,/,Algutsrum X TDr-9,aerial shoots,9958797,0.77,3/15/2017,203,Shoot,Vegetative,Above
GSM2432543,PRJNA358059,F2 Sample 162,28464948,/,Algutsrum X TDr-9,aerial shoots,23849330,0.78,3/15/2017,203,Shoot,Vegetative,Above
GSM2432545,PRJNA358059,F2 Sample 164,28464948,/,Algutsrum X TDr-9,aerial shoots,8449695,0.86,3/15/2017,203,Shoot,Vegetative,Above
GSM2432546,PRJNA358059,F2 Sample 165,28464948,/,Algutsrum X TDr-9,aerial shoots,5652946,0.81,3/15/2017,203,Shoot,Vegetative,Above
GSM2432547,PRJNA358059,F2 Sample 166,28464948,/,Algutsrum X TDr-9,aerial shoots,5035097,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432549,PRJNA358059,F2 Sample 168 (Technical Replicate 1),28464948,/,Algutsrum X TDr-9,aerial shoots,3195415,0.77,3/15/2017,203,Shoot,Vegetative,Above
GSM2432551,PRJNA358059,F2 Sample 170,28464948,/,Algutsrum X TDr-9,aerial shoots,11586354,0.8,3/15/2017,203,Shoot,Vegetative,Above
GSM2432553,PRJNA358059,F2 Sample 172,28464948,/,Algutsrum X TDr-9,aerial shoots,7348368,0.87,3/15/2017,203,Shoot,Vegetative,Above
GSM2432554,PRJNA358059,F2 Sample 173,28464948,/,Algutsrum X TDr-9,aerial shoots,8519283,0.82,3/15/2017,203,Shoot,Vegetative,Above
GSM2432555,PRJNA358059,F2 Sample 174,28464948,/,Algutsrum X TDr-9,aerial shoots,4321382,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432556,PRJNA358059,F2 Sample 175,28464948,/,Algutsrum X TDr-9,aerial shoots,5871323,0.86,3/15/2017,203,Shoot,Vegetative,Above
GSM2432557,PRJNA358059,F2 Sample 176,28464948,/,Algutsrum X TDr-9,aerial shoots,3945261,0.85,3/15/2017,203,Shoot,Vegetative,Above
GSM2432564,PRJNA358059,F2 Sample 183,28464948,/,Algutsrum X TDr-9,aerial shoots,5946713,0.86,3/15/2017,203,Shoot,Vegetative,Above
GSM2432565,PRJNA358059,F2 Sample 6 (Technical Replicate 2),28464948,/,Algutsrum X TDr-9,aerial shoots,18968518,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432567,PRJNA358059,F2 Sample 13 (Technical Replicate 2),28464948,/,Algutsrum X TDr-9,aerial shoots,20824960,0.82,3/15/2017,203,Shoot,Vegetative,Above
GSM2432568,PRJNA358059,F2 Sample 29 (Technical Replicate 2),28464948,/,Algutsrum X TDr-9,aerial shoots,13455911,0.83,3/15/2017,203,Shoot,Vegetative,Above
GSM2432571,PRJNA358059,F2 Sample 102 (Technical Replicate 2),28464948,/,Algutsrum X TDr-9,aerial shoots,17564363,0.84,3/15/2017,203,Shoot,Vegetative,Above
GSM2432573,PRJNA358059,F2 Sample 168 (Technical Replicate 2),28464948,/,Algutsrum X TDr-9,aerial shoots,18421038,0.75,3/15/2017,203,Shoot,Vegetative,Above
GSM2433475,PRJNA358157,11,28718508,/,Col-0,leaves,12094670,0.95,2/14/2018,3633,Leaf,Vegetative,Above
GSM2433476,PRJNA358157,12,28718508,/,Col-0,leaves,12644940,0.95,2/14/2018,3633,Leaf,Vegetative,Above
GSM2433477,PRJNA358157,13,28718508,/,Col-0,leaves,13752770,0.92,2/14/2018,3633,Leaf,Vegetative,Above
GSM2433478,PRJNA358157,17,28718508,/,Col-0,leaves,9903492,0.95,2/14/2018,3633,Leaf,Vegetative,Above
GSM2433479,PRJNA358157,18,28718508,/,Col-0,leaves,18331710,0.94,2/14/2018,3633,Leaf,Vegetative,Above
GSM2433480,PRJNA358157,19,28718508,/,Col-0,leaves,11259130,0.95,2/14/2018,3633,Leaf,Vegetative,Above
GSM2433481,PRJNA358157,31,28718508,/,Col-0,leaves,12561824,0.95,2/14/2018,3633,Leaf,Vegetative,Above
GSM2433482,PRJNA358157,32,28718508,/,Col-0,leaves,12082535,0.95,2/14/2018,3633,Leaf,Vegetative,Above
GSM2433483,PRJNA358157,34,28718508,/,Col-0,leaves,12941112,0.95,2/14/2018,3633,Leaf,Vegetative,Above
GSM2433484,PRJNA358157,38,28718508,/,Col-0,leaves,11851116,0.95,2/14/2018,3633,Leaf,Vegetative,Above
GSM2433485,PRJNA358157,39,28718508,/,Col-0,leaves,12402591,0.96,2/14/2018,3633,Leaf,Vegetative,Above
GSM2433486,PRJNA358157,40,28718508,/,Col-0,leaves,12449446,0.96,2/14/2018,3633,Leaf,Vegetative,Above
GSM2435556,PRJNA358395,Rpm1_camta3D_2,29226970,camta3-D (sr1-4d),Col-0,leaves,26152894,0.87,12/15/2017,3633,Leaf,Vegetative,Above
GSM2435557,PRJNA358395,Rps4_wildtype_1,29226970,Col-0,Col-0,leaves,22125454,0.89,12/15/2017,3633,Leaf,Vegetative,Above
GSM2435560,PRJNA358395,Flg22_wildtype_2,29226970,Col-0,Col-0,leaves,28356492,0.89,12/15/2017,3633,Leaf,Vegetative,Above
GSM2435563,PRJNA358395,Rps4_camta3D_1,29226970,camta3-D (sr1-4d),Col-0,leaves,21785343,0.89,12/15/2017,3633,Leaf,Vegetative,Above
GSM1088166,PRJNA190679,Col RNA-seq,/,wild type,Col-0,leaves,17393155,0.97,7/22/2015,3633,Leaf,Vegetative,Above
GSM1088167,PRJNA190679,rdm16-2 RNA-seq,/,rdm16-2 mutant,Col-0,leaves,16965832,0.96,7/22/2015,3633,Leaf,Vegetative,Above
GSM1088168,PRJNA190679,sta1 RNA-seq,/,sta1 mutant,Col-0,leaves,16656421,0.97,7/22/2015,3633,Leaf,Vegetative,Above
GSM2448941,PRJNA360385,clv3 rep1,29730265,clv3,Col-0,shoot apex,33254254,0.89,12/4/2018,77,Shoot,Vegetative,Above
GSM2448942,PRJNA360385,clv3 rep2,29730265,clv3,Col-0,shoot apex,37085166,0.94,12/4/2018,77,Shoot,Vegetative,Above
GSM2448943,PRJNA360385,mp clv3 rep1 (2),29730265,mp clv3,Col-0,shoot apex,26126727,0.86,12/4/2018,77,Shoot,Vegetative,Above
GSM2448944,PRJNA360385,mp clv3 rep2 (2),29730265,mp clv3,Col-0,shoot apex,21403094,0.86,12/4/2018,77,Shoot,Vegetative,Above
GSM2452497,PRJNA360866,WT air,28082717,wild type,Col-0,leaves,31591599,0.93,8/25/2017,3633,Leaf,Vegetative,Above
GSM2452498,PRJNA360866,WT R3,28082717,wild type,Col-0,leaves,30556114,0.91,8/25/2017,3633,Leaf,Vegetative,Above
GSM2452499,PRJNA360866,myc2 air,28082717,myc2,Col-0,leaves,32928175,0.93,8/25/2017,3633,Leaf,Vegetative,Above
GSM2452500,PRJNA360866,myc2 R3,28082717,myc2,Col-0,leaves,25972014,0.87,8/25/2017,3633,Leaf,Vegetative,Above
GSM2452979,PRJNA360931,atg7-2_control1,"28399398, 28576840",atg7-2,atg7-2,leaves,32434924,0.9,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452980,PRJNA360931,atg7-2_control2,"28399398, 28576840",atg7-2,atg7-2,leaves,32430463,0.9,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452981,PRJNA360931,atg7-2_control3,"28399398, 28576840",atg7-2,atg7-2,leaves,32425745,0.9,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452982,PRJNA360931,atg7-2_dehydration1,"28399398, 28576840",atg7-2,atg7-2,leaves,32436365,0.91,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452983,PRJNA360931,atg7-2_dehydration2,"28399398, 28576840",atg7-2,atg7-2,leaves,32425531,0.9,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452984,PRJNA360931,atg7-2_dehydration3,"28399398, 28576840",atg7-2,atg7-2,leaves,32431466,0.9,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452985,PRJNA360931,atg7-2_starvation1,"28399398, 28576840",atg7-2,atg7-2,leaves,32410797,0.91,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452986,PRJNA360931,atg7-2_starvation2,"28399398, 28576840",atg7-2,atg7-2,leaves,32419491,0.91,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452987,PRJNA360931,bes1_control1,"28399398, 28576840",bes1-D,bes1-D,leaves,32423272,0.89,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452988,PRJNA360931,bes1_control2,"28399398, 28576840",bes1-D,bes1-D,leaves,32423757,0.9,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452989,PRJNA360931,bes1_control3,"28399398, 28576840",bes1-D,bes1-D,leaves,32376389,0.82,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452990,PRJNA360931,bes1_dehydration1,"28399398, 28576840",bes1-D,bes1-D,leaves,32414259,0.88,4/13/2017,3633,Leaf,Vegetative,Above
GSM2452991,PRJNA360931,bes1_dehydration2,"28399398, 28576840",bes1-D,bes1-D,leaves,32411125,0.87,4/13/2017,3633,Leaf,Vegetative,Above
